Catch	in	Numbers	(thousands)					
1	2							
1950	2018							
3	13							
1								
3189	37949	35344	18849	28868	9199	1979	1093	853	867	1257
65643	9178	18014	13551	6808	6850	3322	1182	734	178	436
6012	151996	13634	9850	4693	3237	2434	606	534	185	161
64528	13013	70781	5431	2867	1080	424	315	393	202	410
6563	154696	5885	27590	3233	1302	712	319	126	68	349
1154	10689	176678	4993	28273	1445	271	100	50	30	20
16437	5922	14713	127879	3182	8003	450	200	80	60	45
2074	24704	7942	12535	46619	1087	1971	356	17	40	119
1727	5914	31438	5820	12748	17565	822	1072	226	79	296
20318	7826	7243	14040	3154	2237	5918	285	316	71	113
39910	70912	13647	7101	6236	1579	2340	2005	497	70	42
15429	56855	63351	8706	3578	4407	788	527	1287	67	80
39503	30868	48903	33836	3201	1341	1773	242	247	483	28
28466	72736	18969	13579	9257	1239	559	409	80	84	212
22363	49290	30672	5815	3527	2716	833	104	206	235	190
5936	46356	40201	12631	1679	974	897	123	204	123	471
26345	22631	63176	29048	5752	582	438	189	186	25	30
15907	41346	13496	25719	8872	1616	218	175	155	75	41
657	67632	41267	7748	15599	5292	655	182	101	115	70
1524	1968	44634	19002	3620	4937	1628	316	43	43	23
23444	2454	1906	22417	8100	2012	2016	740	166	26	96
1978	24358	1257	918	9279	3056	826	1043	369	130	35
230942	22315	42981	3206	1611	6758	2638	900	989	538	120
70679	260520	24180	6919	422	426	1692	529	147	339	95
9685	41706	88120	5829	4138	382	618	2043	935	276	659
10037	14088	33871	49711	2135	1236	92	131	500	147	287
13994	13454	6810	20796	40057	1247	1350	193	280	652	671
55967	22043	7368	2586	7781	11043	311	388	96	101	182
47311	18812	4076	1389	1626	2596	6215	162	258	3	139
17540	35290	10645	1429	812	546	1466	2310	181	87	55
627	22878	21794	2971	250	504	230	842	1299	111	50
486	2561	22124	10685	1034	162	162	72	330	564	69
883	900	3372	12203	2625	344	75	80	91	321	238
1173	2636	1360	2394	2506	1799	267	37	60	100	132
1271	1019	1899	657	950	2619	352	87	2	22	53
29624	1695	564	1009	943	886	1763	588	124	64	93
23113	68429	1565	783	896	393	702	1144	443	130	414
5031	87170	64556	960	597	376	212	230	419	245	73
1439	12478	47890	20429	397	178	74	88	168	198	80
2157	4986	16071	25313	3198	147	1	28	28	53	96
1015	2580	2142	4046	6221	840	134	42	14	13	44
4421	3564	2416	3299	4633	3953	461	83	9	18	27
11571	11567	4099	2642	2894	3327	3498	486	35	32	18
13487	19457	13704	4103	1747	1886	2105	1965	201	96	25
3374	47821	36333	13264	2057	903	1453	2769	1802	259	49
2003	16109	72644	19145	6417	746	361	770	655	804	116
1662	6818	36473	73579	13426	2944	573	365	533	598	767
2280	5633	12603	32832	49478	5636	778	245	126	158	463
1701	11304	9258	8633	13801	19469	2113	330	59	54	377
16839	8039	15365	6073	4466	6355	6204	647	117	109	220
1520	29986	6496	5149	2406	1657	1570	1744	183	70	184
12971	5230	32049	5279	2941	1137	1161	1169	747	169	288
7132	46335	11084	21985	2602	1602	482	448	581	349	98
6803	31448	56480	11736	14541	1637	2178	858	411	413	395
7993	21116	41310	41226	4939	4914	598	1252	296	139	465
11452	19369	22887	37067	24461	2393	2997	990	201	263	1059
4539	35040	27571	15033	16023	8567	1259	1298	222	175	321
30707	15213	45992	18516	10642	7889	2570	678	605	197	185
14536	44192	15926	31173	9145	4520	2846	1181	274	214	166
15379	55013	52498	13679	15382	3800	1669	887	285	353	321
6545	52006	80622	50306	9273	5324	1954	1114	533	242	621
1277	8501	90394	100522	39496	4397	2340	668	437	269	708
7814	4206	18007	93055	82721	14445	1325	448	217	216	568
1778	12780	3805	12297	58024	29930	4976	957	331	212	535
6948	4503	14563	6833	16304	39620	16439	2431	619	440	545
1645	27317	8526	16624	7951	20538	25534	6677	1556	295	312
5774	3482	33177	9563	18045	12030	21875	13492	4757	876	248
8221	30576	7750	33620	10518	14992	9485	8447	6640	1872	317
9424	16291	34060	8466	18882	5123	8902	4125	3564	4504	1354
