"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 0.0416354794255058 0.0190843833321834 0.0243497364752853 0.0383805631560224 0.0572258054056986 0.115695788917535 0.471011936474813 0.60493946560814 0.179056728810957 0.047136297075924
"2" 0.0736593801769753 0.0442559557206603 0.0206841353803074 0.0240981438239058 0.0524985573122668 0.0610768487261864 0.168761898418232 0.240369452011829 0.137056596394135 0.0484752664948561
"3" 0.123274489991503 0.0757314048734288 0.0403347177692709 0.0220790835997809 0.0275095217087439 0.0570491410906104 0.0871088336379815 0.166767006637477 1 0.105105196913563
"4" 0.0554643695376952 0.130541866290356 0.0802795946965117 0.0476024545221262 0.0257163266942658 0.034830157063548 0.0848365865820568 0.143774344459525 0.679209006911307 0.134638938315065
"5" 0.0689698147312239 0.0497547375288327 0.22320786902979 0.120848623968628 0.0701737857873598 0.0322369487344266 0.0369421156922359 0.0624002019217748 0.140735164876673 0.164471194010085
"6" 0.0301685766840712 0.0672704450031358 0.0665818267151056 0.168356715403408 0.159151660685816 0.0465916004760809 0.0366638435498508 0.0722585252528911 0.221209905206365 0.166377134448351
"7" 0.0341529658425867 0.0282104569456681 0.0675265359568315 0.0883458250167357 0.122113557631616 0.0851046923250786 0.0585950188658174 0.0522402373383605 0.0674194545999105 0.173438998777254
"8" 0.0336279674500155 0.0277302058490417 0.0277609096436456 0.065855604636842 0.0908320847695933 0.183682817448128 0.151688099283305 0.0596642550123618 0.0536357912378256 0.0570868518099355
"9" 0.0650013088694066 0.0373183232849298 0.0249416730253795 0.0268504475649305 0.0764858572092093 0.100736041550097 0.241674835448352 0.132168849699852 0.124018383443301 0.0521267165033181
"10" 0.0202857753802934 0.0689698147312239 0.0611706692975185 0.0344990351957092 0.0368569902528213 0.0957000621438673 0.120299797652801 0.187563679012155 0.142816697262906 0.0577012091055518
"11" 0.133480542268356 0.0233097818026261 0.0680042142598493 0.0576621942411987 0.0337223863193503 0.0326909680190102 0.0939240317547723 0.0919027710593284 0.170836463235062 0.0554873481154014
"12" 0.0489157562408804 0.0353683042088501 0.0200005701694119 0.0712172713505043 0.0579107151129749 0.0331254437095223 0.036212461095249 0.0959626681681196 0.108740035937982 0.0493533452674037
"13" 0.0970366604278432 0.0267370254969282 0.0302371699838163 0.0231153747683815 0.0655799152860947 0.0547226316189772 0.0386258665831405 0.0501583324536083 0.112811931134626 0.0769371881739207
"14" 0.062737060997246 0.0558356979229385 0.0251932215228055 0.0290951796849835 0.0283353712036398 0.0559769971637534 0.0671646493107473 0.0525661940892678 0.0676773639963786 0.0906666479341425
"15" 0.103807300125052 0.0538958251978166 0.0609214929649448 0.0301037839012767 0.0350664125581678 0.0361561574899265 0.0841346192098706 0.0835777275196226 0.0796175106489824 0.087449601892302
"16" 0.0798362654382606 0.0652885718055326 0.0442111604775968 0.0516436873937754 0.0284828754054929 0.0397946803864754 0.0408116217712646 0.0861114346910001 0.0831572686215207 0.0773308839700592
"17" 0.0488695982181632 0.117167037216379 0.0944833540837906 0.0631316976600837 0.0516803401167124 0.0411278117395133 0.0574683698145993 0.0565782222230208 0.135032342103586 0.0749702068389284
"18" 0.088498071126888 0.0423915703594173 0.114514049805547 0.072499573426878 0.057340297917973 0.0475812680652118 0.0393617194741034 0.0498853885466228 0.0595487715540345 0.0611550006976229
"19" 0.0719673504281429 0.0874006596612595 0.0496979181713439 0.0899071524374976 0.0768073700982684 0.0506067970787666 0.0544173313322208 0.0492821798442132 0.0751204950999907 0.0678728718145599
"20" 0.110768108630304 0.0702467111747457 0.0734619651165024 0.0445449490639813 0.0679384419510542 0.0739157031323126 0.0468379231967004 0.0520233408320315 0.0405879916817656 0.0583910888684376
"21" 0.0445392248823028 0.0656779535669385 0.0551909638013392 0.0609524635768314 0.0505896421277527 0.0816583070003387 0.0744077319782688 0.0610924537083647 0.0598680764637188 0.0404607268427989
"22" 0.0768721917099737 0.0405326880535342 0.073016989622937 0.065404614067858 0.083919029992434 0.0667881250842691 0.129665409810993 0.0911099721158057 0.0799096112225988 0.0388390683712244
"23" 0.0772318576066537 0.0569989830656089 0.0359076227100142 0.0799831725381291 0.0671857660650602 0.102234715299024 0.0695517055818293 0.127802055198097 0.093314818315909 0.0378769657930681
