"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 0.105639761578394 0.117128386659803 0.0250979868672797 0.204137232031244 0.306914063799574 0.47609833155479 0.289399520845338 0.362347309996058 0.280327882480898 1
"2" 0.401751808785741 0.111070326137582 0.201108103954251 0.0350303645650145 0.186288506160039 0.460429014998259 0.537000399475456 0.240224555024553 1 0.255631219992562
"3" 1 1 1 1 1 1 1 1 1 1
"4" 1 1 1 1 1 1 1 1 1 1
"5" 1 1 1 1 1 1 1 1 1 1
"6" 1 1 1 1 1 1 1 1 1 1
"7" 0.191958409731028 0.262292864475288 0.0723988914853843 0.0943374616423135 0.219189901574196 0.422102505630818 0.158826632985203 0.274768199829168 0.0505193820658917 0.596921787528341
"8" 0.101526940316113 0.032623222244658 0.0389864050114062 0.0487139566850497 0.118395978384254 0.392726818726381 1 0.16422293057148 0.215401367578596 0.0454725014433614
"9" 0.161208861014275 0.0499236917380099 0.0253124337595945 0.044701602118783 0.0710179941377419 0.114549623301088 1 1 0.175736179586752 0.0506229908737342
"10" 1 1 1 1 1 1 1 1 1 1
"11" 0.111986221572242 0.0676697984923557 0.0400342905145527 0.0199295715947546 0.0248818475966874 0.0496277952345289 0.0859188391870335 0.142410517242469 0.299501691517541 0.0513672089127709
"12" 0.0543646788156829 0.105128607461234 0.0580615306346742 0.0429659161663105 0.0233871765958338 0.0268861280609902 0.0534181456321324 0.0930121385298761 0.173844466379962 0.0782879026451762
"13" 0.0807770939186322 0.0427796865352172 0.18865239428459 0.0938891416818889 0.0632084640717298 0.0342372749111491 0.0409978493614487 0.0888312882408804 0.262292864475288 0.130884507235651
"14" 1 1 1 1 1 1 1 1 1 1
"15" 1 1 1 1 1 1 1 1 1 1
"16" 1 1 1 1 1 1 1 1 1 1
"17" 1 1 1 1 1 1 1 1 1 1
"18" 0.122679933905554 0.0813393478100267 0.047601510931197 0.0291870101336061 0.024868888744559 0.0814532719788653 0.0964896555934974 0.146188203613593 0.181119800563779 0.0455004684373197
"19" 0.192814208910787 0.0287220183316918 0.0945186749514001 0.0701059061188404 0.0383937014386225 0.0383992152984515 0.175098355617713 0.227457030589748 0.344029764063519 0.0967818650273495
"20" 0.106421323654987 0.0540115970651855 0.020629445279961 0.0837171694029112 0.0822649397385549 0.0411473089386384 0.0385769642454838 0.166334613099039 0.133758768292493 0.066274631010061
"21" 0.223200735731522 0.0441386721082289 0.0421617793149324 0.0237478374081633 0.0901328945170714 0.0947009820302324 0.0539323396475817 0.0539165314664387 0.158363426072615 0.09787750265959
"22" 1 1 1 1 1 1 1 1 1 1
"23" 1 1 1 1 1 1 1 1 1 1
"24" 1 1 1 1 1 1 1 1 1 1
"25" 1 1 1 1 1 1 1 1 1 1
"26" 1 1 1 1 1 1 1 1 1 1
"27" 1 1 1 1 1 1 1 1 1 1
"28" 0.0912508077218514 0.0418054836129376 0.0759314986787145 0.038774326044009 0.105383212726732 0.0820304613037706 0.0409708551810545 0.0782375087568394 0.0264019558771985 0.0450231225642649
"29" 0.135132790084368 0.126346816196495 0.0894364412438934 0.102100444354578 0.045575308675321 0.128912151031459 0.0872308780334666 0.0414933691754234 0.0802812999175837 0.0302888798280489
"30" 0.19545656171661 0.0648527442492986 0.0811129836291137 0.0717364661726167 0.101300348056548 0.0578636862133461 0.148763972546775 0.131649052140233 0.0497012588860688 0.0364841798337001
"31" 0.162193992106984 0.0512993756994844 0.0415777745672445 0.0938891416818889 0.0734913346378777 0.0837171694029112 0.0647129298861574 0.0959134262394561 0.105255668701009 0.0378438500109279
