Year  LAIUnit Area  Fortnight        L<=9   
 87   B2      Or/Sh  16-30Sep        1848   
 87   C1      Buchan 01-15Sep        2551   
 87   C2      Buchan 16-30Sep         670   
 87   D1      CNS    01-15Sep         799   
 87   D2      CNS    16-30Sep        4927   
 87   D3      CNS    01-15Oct        1992   
 87   D4      CNS    16-31Oct         113   
 87   E6      SNS    16-31Dec         934   
 87   E7      SNS    01-15Jan         297   
 87   E8      SNS    16-31Jan         146   
 88   B1      Or/Sh  01-15Sep        7538   
 88   B2      Or/Sh  16-30Sep        8832   
 88   C1      Buchan 01-15Sep        6812   
 88   C2      Buchan 16-30Sep        5248   
 88   D1      CNS    01-15Sep        5533   
 88   D2      CNS    16-30Sep        3808   
 88   D3      CNS    01-15Oct        1960   
 88   D4      CNS    16-31Oct         206   
 88   E6      SNS    16-31Dec        1679   
 88   E7      SNS    01-15Jan         162   
 88   E8      SNS    16-31Jan         112   
 89   B1      Or/Sh  01-15Sep       11477   
 89   B2      Or/Sh  16-30Sep        5725   
 89   C1      Buchan 01-15Sep        5879   
 89   C2      Buchan 16-30Sep         692   
 89   D1      CNS    01-15Sep        1442   
 89   D2      CNS    16-30Sep        5010   
 89   D3      CNS    01-15Oct        2364   
 89   D4      CNS    16-31Oct           2   
 89   E6      SNS    16-31Dec        1514   
 89   E7      SNS    01-15Jan        2120   
 89   E8      SNS    16-31Jan         512   
 90   B2      Or/Sh  16-30Sep       10144   
 90   C1      Buchan 01-15Sep        4590   
 90   C2      Buchan 16-30Sep        2045   
 90   D1      CNS    01-15Sep       19965   
 90   D2      CNS    16-30Sep        1239   
 90   D3      CNS    01-15Oct         975   
 90   E6      SNS    16-31Dec        2552   
 90   E7      SNS    01-15Jan        1204   
 91   B1      Or/Sh  01-15Sep        1021   
 91   B2      Or/Sh  16-30Sep        2397   
 91   C2      Buchan 16-30Sep        2032   
 91   D1      CNS    01-15Sep        4823   
 91   D2      CNS    16-30Sep        2110   
 91   D3      CNS    01-15Oct        1249   
 91   E6      SNS    16-31Dec        4400   
 91   E7      SNS    01-15Jan         873   
 92   B1      Or/Sh  01-15Sep         189   
 92   B2      Or/Sh  16-30Sep        4917   
 92   C2      Buchan 16-30Sep         822   
 92   D1      CNS    01-15Sep          10   
 92   D2      CNS    16-30Sep         165   
 92   D3      CNS    01-15Oct         163   
 92   E6      SNS    16-31Dec         176   
 92   E7      SNS    01-15Jan        1616   
 93   B2      Or/Sh  16-30Sep          66   
 93   C2      Buchan 16-30Sep         174   
 93   D2      CNS    16-30Sep         685   
 93   D3      CNS    01-15Oct          85   
 93   E6      SNS    16-31Dec        1358   
 93   E7      SNS    01-15Jan        1103   
 94   B1      Or/Sh  01-15Sep          26   
 94   B2      Or/Sh  16-30Sep        1179   
 94   D2      CNS    16-30Sep        1464   
 94   D3      CNS    01-15Oct          44   
 94   E6      SNS    16-31Dec         537   
 94   E7      SNS    01-15Jan         595   
 95   B2      Or/Sh  16-30Sep        8688   
 95   D3      CNS    01-15Oct          43   
 95   E6      SNS    16-31Dec          74   
 95   E7      SNS    01-15Jan         230   
 95   E8      SNS    16-31Jan         164   
 96   B2      Or/Sh  16-30Sep         809   
 96   C2      Buchan 16-30Sep         184   
 96   D2      CNS    16-30Sep         564   
 96   E6      SNS    16-31Dec         337   
