 catch-at-age - catch.n (units : NA )
1	25	
1950	2013	
1	10	
1 
227221	264498	3926	8984	33578	59513	38101	22709	33515	27330
34493	43234	23622	24377	47004	59748	70418	33534	32856	32403
4421	7682	11665	9197	38989	57831	66408	78472	60929	41914
16403	21593	14130	14728	44604	50110	63493	58955	62224	53658
14798	19900	2612	5405	42788	41008	37064	26001	43927	93313
13292	72607	107287	41942	35018	37857	33831	35982	47166	95779
5455	35668	55304	22788	23589	24829	26572	24377	39251	63567
6090	42315	66203	33614	24986	46228	52604	34525	21086	81420
21161	41049	57634	29588	59760	48488	37140	34886	26780	63842
7803	45504	66430	25744	16179	17160	13577	14502	22619	71987
4765	22822	30071	19572	30203	25135	17431	22141	29166	61076
7810	36086	47258	28390	31705	27849	12017	14114	27817	74816
6947	29693	35821	20586	23845	24378	11403	22140	29668	79161
6052	29894	38038	21146	20055	14641	8764	6465	8772	41784
13483	53407	61334	36574	23306	13436	11044	4904	4604	44458
13433	48963	51094	28637	15434	11246	11086	4832	2980	45956
39435	112262	130124	44909	18096	16945	6580	4015	3189	23646
65607	71403	107837	43983	17335	14462	16219	3449	4776	40828
21693	46196	55828	41113	17492	6842	10761	6080	2258	21866
43105	116781	74227	34278	15471	6882	4455	7075	4268	28148
38988	76924	35680	20582	10730	8007	5747	4676	5799	23883
3451	89131	50860	16650	12913	4879	5481	6382	5947	20270
5572	150796	80312	18136	10840	8034	4908	2851	3067	16399
7760	87196	78669	12238	4771	4351	6947	7737	7455	17932
44979	144277	72124	55221	12699	6556	3768	4789	8696	43995
83784	352022	82482	24055	11863	7932	4665	3441	4480	54950
17501	196886	239993	47506	18187	6492	3897	2187	2948	40376
67420	276479	81061	45074	6677	4738	4363	2903	2778	36620
98571	188169	132603	26750	8539	2569	2746	1850	1398	26717
15968	46352	85484	47174	8803	3802	3159	4700	4051	22395
153268	139588	111494	35392	11439	6346	3925	2495	2715	24603
91413	320656	114393	16726	11334	6214	4537	4938	3506	18038
435146	261565	174574	35996	8002	3991	5295	9038	4835	38429
666700	196954	118435	27650	11539	5339	8741	6724	5468	38481
162819	602875	80533	29876	18523	10029	5897	6546	10421	41447
126331	327195	273250	52930	11441	7068	3014	2958	3330	31802
605591	245280	110492	60475	10837	5638	3356	2173	3201	27826
233816	425594	130379	35130	13521	7777	7936	4072	3661	23513
787367	200806	221887	45198	12256	9116	10263	5612	5200	33541
457214	409308	103865	51467	26165	5341	9140	6317	4674	24559
436998	328719	195471	53837	37392	7450	6938	10362	12813	27930
243244	401950	186084	52344	39257	7563	5140	6163	14736	43604
229346	527897	280117	50401	19089	12662	13102	10683	12770	50171
280527	748302	362085	64110	24965	13406	11620	9313	9357	44736
304847	502294	171942	56713	40131	28247	27583	24303	23658	91142
443084	322790	296579	65551	53670	39327	22103	17701	16646	85605
722824	749482	412119	158491	35371	15364	18206	16619	19819	74071
395679	677870	247649	64537	19698	11968	12484	30680	45872	97818
532128	763654	438936	124797	17678	107407	12045	12962	20139	69971
518616	471242	89656	71018	56488	21618	18838	26332	61115	96145
2366937	877696	448143	18006	25646	23979	14021	23319	26021	59710
27286	961303	244691	124714	12045	20692	51034	36182	26059	92917
113631	900618	362525	84557	18356	9956	14570	31194	34913	89807
58558	357510	128196	34406	47537	23692	20889	27859	32092	142002
273854	423563	155226	49878	11668	31479	50317	15861	29600	124960
422232	225621	154590	90056	33912	26120	29029	24601	23453	138465
123369	206540	260759	75970	17195	56002	25141	28851	85509	84372
3642	218014	115151	258112	66369	37412	42705	34326	60701	127437
755	63119	41758	67048	51597	27174	19392	16913	16230	44546
1350	22619	20491	52868	24566	30804	33104	19219	10408	33310
244	18233	14681	31594	24787	18450	14728	11765	12418	12144
1287	68174	21397	17206	26735	10930	10119	7243	7044	17003
13	390	5275	9709	2986	6082	14506	30483	7939	18557
43	209	1858	7658	6055	17066	15351	19433	18707	24068
