"t1" "t2" "age" "M" "PM" "SW" "CW" "DW" "LF"
"675" 1996.25 1996.5 3 0.44 1 50 37.94 37.94 1
"870" 1996.25 1996.5 4 0.44 1 56 0 0 1
"91" 1996.5 1996.75 0 0.29 0 4 3.88 3.88 1
"286" 1996.5 1996.75 1 0.29 0.2 25 27.81 27.81 1
"481" 1996.5 1996.75 2 0.39 1 40 40.9 40.9 1
"676" 1996.5 1996.75 3 0.44 1 60 50.44 50.44 1
"871" 1996.5 1996.75 4 0.44 1 0 0 0 1
"92" 1996.75 1997 0 0.29 0 6 5.95 5.95 1
"287" 1996.75 1997 1 0.29 0.2 25 28.09 28.09 1
"482" 1996.75 1997 2 0.39 1 40 38.81 38.81 1
"677" 1996.75 1997 3 0.44 1 58 56 56 1
"872" 1996.75 1997 4 0.44 1 0 0 0 1
"93" 1997 1997.25 0 0.29 0 0 0 0 1
"288" 1997 1997.25 1 0.29 0.2 9 7.01 7.01 1
"483" 1997 1997.25 2 0.39 1 25 23.11 23.11 1
"678" 1997 1997.25 3 0.44 1 40 39.11 39.11 1
"873" 1997 1997.25 4 0.44 1 56 0 0 1
"94" 1997.25 1997.5 0 0.29 0 0 0 0 1
"289" 1997.25 1997.5 1 0.29 0.2 12 11.69 11.69 1
"484" 1997.25 1997.5 2 0.39 1 25 26.4 26.4 1
"679" 1997.25 1997.5 3 0.44 1 50 34.47 34.47 1
"874" 1997.25 1997.5 4 0.44 1 56 0 0 1
"95" 1997.5 1997.75 0 0.29 0 4 3.61 3.61 1
"290" 1997.5 1997.75 1 0.29 0.2 25 20.14 20.14 1
"485" 1997.5 1997.75 2 0.39 1 40 31.13 31.13 1
"680" 1997.5 1997.75 3 0.44 1 60 44.03 44.03 1
"875" 1997.5 1997.75 4 0.44 1 0 0 0 1
"96" 1997.75 1998 0 0.29 0 6 10.18 10.18 1
"291" 1997.75 1998 1 0.29 0.2 25 22.11 22.11 1
"486" 1997.75 1998 2 0.39 1 40 32.69 32.69 1
"681" 1997.75 1998 3 0.44 1 58 38.62 38.62 1
"876" 1997.75 1998 4 0.44 1 0 0 0 1
"97" 1998 1998.25 0 0.29 0 0 0 0 1
"292" 1998 1998.25 1 0.29 0.2 9 8.76 8.76 1
"487" 1998 1998.25 2 0.39 1 25 22.16 22.16 1
"682" 1998 1998.25 3 0.44 1 40 34.84 34.84 1
"877" 1998 1998.25 4 0.44 1 56 42.4 42.4 1
"98" 1998.25 1998.5 0 0.29 0 0 0 0 1
"293" 1998.25 1998.5 1 0.29 0.2 12 12.55 12.55 1
"488" 1998.25 1998.5 2 0.39 1 25 25.27 25.27 1
"683" 1998.25 1998.5 3 0.44 1 50 32.18 32.18 1
"878" 1998.25 1998.5 4 0.44 1 56 40 40 1
"99" 1998.5 1998.75 0 0.29 0 4 4.82 4.82 1
"294" 1998.5 1998.75 1 0.29 0.2 25 23.82 23.82 1
"489" 1998.5 1998.75 2 0.39 1 40 31.73 31.73 1
"684" 1998.5 1998.75 3 0.44 1 60 44.92 44.92 1
"879" 1998.5 1998.75 4 0.44 1 0 0 0 1
"100" 1998.75 1999 0 0.29 0 6 8.32 8.32 1
"295" 1998.75 1999 1 0.29 0.2 25 24.33 24.33 1
"490" 1998.75 1999 2 0.39 1 40 30.93 30.93 1
"685" 1998.75 1999 3 0.44 1 58 33.24 33.24 1
"880" 1998.75 1999 4 0.44 1 0 0 0 1
"101" 1999 1999.25 0 0.29 0 0 0 0 1
"296" 1999 1999.25 1 0.29 0.2 9 8.98 8.98 1
"491" 1999 1999.25 2 0.39 1 25 25.84 25.84 1
"686" 1999 1999.25 3 0.44 1 40 36.66 36.66 1
"881" 1999 1999.25 4 0.44 1 56 46.57 46.57 1
"102" 1999.25 1999.5 0 0.29 0 0 0 0 1
"297" 1999.25 1999.5 1 0.29 0.2 12 12.4 12.4 1
"492" 1999.25 1999.5 2 0.39 1 25 24.15 24.15 1
"687" 1999.25 1999.5 3 0.44 1 50 35.24 35.24 1
"882" 1999.25 1999.5 4 0.44 1 56 46.57 46.57 1
"103" 1999.5 1999.75 0 0.29 0 4 2.84 2.84 1
"298" 1999.5 1999.75 1 0.29 0.2 25 22.16 22.16 1
"493" 1999.5 1999.75 2 0.39 1 40 32.66 32.66 1
"688" 1999.5 1999.75 3 0.44 1 60 43.98 43.98 1
"883" 1999.5 1999.75 4 0.44 1 0 0 0 1
"104" 1999.75 2000 0 0.29 0 6 7.56 7.56 1
"299" 1999.75 2000 1 0.29 0.2 25 25.6 25.6 1
"494" 1999.75 2000 2 0.39 1 40 37.74 37.74 1
"689" 1999.75 2000 3 0.44 1 58 51.63 51.63 1
"884" 1999.75 2000 4 0.44 1 0 0 0 1
"105" 2000 2000.25 0 0.29 0 0 0 0 1
"300" 2000 2000.25 1 0.29 0.2 9 10.05 10.05 1
"495" 2000 2000.25 2 0.39 1 25 19.21 19.21 1
"690" 2000 2000.25 3 0.44 1 40 32.1 32.1 1
"885" 2000 2000.25 4 0.44 1 56 0 0 1
"106" 2000.25 2000.5 0 0.29 0 0 0 0 1
"301" 2000.25 2000.5 1 0.29 0.2 12 15.65 15.65 1
"496" 2000.25 2000.5 2 0.39 1 25 25.14 25.14 1
"691" 2000.25 2000.5 3 0.44 1 50 41.3 41.3 1
"886" 2000.25 2000.5 4 0.44 1 56 0 0 1
"107" 2000.5 2000.75 0 0.29 0 4 7.21 7.21 1
"302" 2000.5 2000.75 1 0.29 0.2 25 23.76 23.76 1
"497" 2000.5 2000.75 2 0.39 1 40 38.9 38.9 1
"692" 2000.5 2000.75 3 0.44 1 60 39.61 39.61 1
"887" 2000.5 2000.75 4 0.44 1 0 0 0 1
"108" 2000.75 2001 0 0.29 0 6 13.86 13.86 1
"303" 2000.75 2001 1 0.29 0.2 25 22.98 22.98 1
"498" 2000.75 2001 2 0.39 1 40 34.48 34.48 1
"693" 2000.75 2001 3 0.44 1 58 50.04 50.04 1
"888" 2000.75 2001 4 0.44 1 0 0 0 1
"109" 2001 2001.25 0 0.29 0 0 0 0 1
"304" 2001 2001.25 1 0.29 0.2 9 8.34 8.34 1
"499" 2001 2001.25 2 0.39 1 25 21.5 21.5 1
"694" 2001 2001.25 3 0.44 1 40 39.84 39.84 1
"889" 2001 2001.25 4 0.44 1 56 0 0 1
"110" 2001.25 2001.5 0 0.29 0 0 0 0 1
"305" 2001.25 2001.5 1 0.29 0.2 12 16.79 16.79 1
"500" 2001.25 2001.5 2 0.39 1 25 23.57 23.57 1
"695" 2001.25 2001.5 3 0.44 1 50 37.63 37.63 1
"890" 2001.25 2001.5 4 0.44 1 56 0 0 1
"111" 2001.5 2001.75 0 0.29 0 4 6.34 6.34 1
"306" 2001.5 2001.75 1 0.29 0.2 25 27 27 1
"501" 2001.5 2001.75 2 0.39 1 40 39.54 39.54 1
"696" 2001.5 2001.75 3 0.44 1 60 54.2 54.2 1
"891" 2001.5 2001.75 4 0.44 1 0 0 0 1
"112" 2001.75 2002 0 0.29 0 6 7.9 7.9 1
"307" 2001.75 2002 1 0.29 0.2 25 30.01 30.01 1
"502" 2001.75 2002 2 0.39 1 40 35.51 35.51 1
"697" 2001.75 2002 3 0.44 1 58 55.7 55.7 1
"892" 2001.75 2002 4 0.44 1 0 0 0 1
"113" 2002 2002.25 0 0.29 0 0 0 0 1
"308" 2002 2002.25 1 0.29 0.2 9 8.59 8.59 1
"503" 2002 2002.25 2 0.39 1 25 25.98 25.98 1
"698" 2002 2002.25 3 0.44 1 40 32.3 32.3 1
"893" 2002 2002.25 4 0.44 1 56 0 0 1
"114" 2002.25 2002.5 0 0.29 0 0 0 0 1
"309" 2002.25 2002.5 1 0.29 0.2 12 16.4 16.4 1
"504" 2002.25 2002.5 2 0.39 1 25 30.39 30.39 1
"699" 2002.25 2002.5 3 0.44 1 50 40.1 40.1 1
"894" 2002.25 2002.5 4 0.44 1 56 0 0 1
"115" 2002.5 2002.75 0 0.29 0 4 7.28 7.28 1
"310" 2002.5 2002.75 1 0.29 0.2 25 27.13 27.13 1
"505" 2002.5 2002.75 2 0.39 1 40 43.37 43.37 1
"700" 2002.5 2002.75 3 0.44 1 60 54.11 54.11 1
"895" 2002.5 2002.75 4 0.44 1 0 0 0 1
"116" 2002.75 2003 0 0.29 0 6 7.2 7.2 1
"311" 2002.75 2003 1 0.29 0.2 25 27.47 27.47 1
"506" 2002.75 2003 2 0.39 1 40 36.87 36.87 1
"701" 2002.75 2003 3 0.44 1 58 41.28 41.28 1
"896" 2002.75 2003 4 0.44 1 0 0 0 1
"117" 2003 2003.25 0 0.29 0 0 0 0 1
"312" 2003 2003.25 1 0.29 0.2 9 11.58 11.58 1
"507" 2003 2003.25 2 0.39 1 25 22.85 22.85 1
"702" 2003 2003.25 3 0.44 1 40 34.96 34.96 1
"897" 2003 2003.25 4 0.44 1 56 0 0 1
"118" 2003.25 2003.5 0 0.29 0 0 0 0 1
"313" 2003.25 2003.5 1 0.29 0.2 12 13.13 13.13 1
"508" 2003.25 2003.5 2 0.39 1 25 26.19 26.19 1
"703" 2003.25 2003.5 3 0.44 1 50 39.89 39.89 1
"898" 2003.25 2003.5 4 0.44 1 56 0 0 1
"119" 2003.5 2003.75 0 0.29 0 4 9.12 9.12 1
"314" 2003.5 2003.75 1 0.29 0.2 25 28.33 28.33 1
"509" 2003.5 2003.75 2 0.39 1 40 38.01 38.01 1
"704" 2003.5 2003.75 3 0.44 1 60 46.24 46.24 1
"899" 2003.5 2003.75 4 0.44 1 0 70 70 1
"120" 2003.75 2004 0 0.29 0 6 9.79 9.79 1
"315" 2003.75 2004 1 0.29 0.2 25 15.98 15.98 1
"510" 2003.75 2004 2 0.39 1 40 31.87 31.87 1
"705" 2003.75 2004 3 0.44 1 58 45.79 45.79 1
"900" 2003.75 2004 4 0.44 1 0 70 70 1
"121" 2004 2004.25 0 0.29 0 0 0 0 1
"316" 2004 2004.25 1 0.29 0.2 9 11.54 11.54 1
"511" 2004 2004.25 2 0.39 1 25 27.41 27.41 1
"706" 2004 2004.25 3 0.44 1 40 41.52 41.52 1
"901" 2004 2004.25 4 0.44 1 56 0 0 1
"122" 2004.25 2004.5 0 0.29 0 0 0 0 1
"317" 2004.25 2004.5 1 0.29 0.2 12 14.63 14.63 1
"512" 2004.25 2004.5 2 0.39 1 25 26.22 26.22 1
"707" 2004.25 2004.5 3 0.44 1 50 34.8 34.8 1
"902" 2004.25 2004.5 4 0.44 1 56 0 0 1
"123" 2004.5 2004.75 0 0.29 0 4 9.8 9.8 1
"318" 2004.5 2004.75 1 0.29 0.2 25 31.02 31.02 1
"513" 2004.5 2004.75 2 0.39 1 40 38.44 38.44 1
"708" 2004.5 2004.75 3 0.44 1 60 49.5 49.5 1
"903" 2004.5 2004.75 4 0.44 1 0 0 0 1
"124" 2004.75 2005 0 0.29 0 6 7.89 7.89 1
"319" 2004.75 2005 1 0.29 0.2 25 31.75 31.75 1
"514" 2004.75 2005 2 0.39 1 40 39.31 39.31 1
"709" 2004.75 2005 3 0.44 1 58 49.8 49.8 1
"904" 2004.75 2005 4 0.44 1 0 0 0 1
"125" 2005 2005.25 0 0.29 0 0 0 0 1
"320" 2005 2005.25 1 0.29 0.2 9 11.97 11.97 1
"515" 2005 2005.25 2 0.39 1 25 27.9 27.9 1
"710" 2005 2005.25 3 0.44 1 40 41.36 41.36 1
"905" 2005 2005.25 4 0.44 1 56 0 0 1
"126" 2005.25 2005.5 0 0.29 0 0 0 0 1
"321" 2005.25 2005.5 1 0.29 0.2 12 14.65 14.65 1
"516" 2005.25 2005.5 2 0.39 1 25 26.24 26.24 1
"711" 2005.25 2005.5 3 0.44 1 50 34.8 34.8 1
"906" 2005.25 2005.5 4 0.44 1 56 0 0 1
"127" 2005.5 2005.75 0 0.29 0 4 9.8 9.8 1
"322" 2005.5 2005.75 1 0.29 0.2 25 31.02 31.02 1
"517" 2005.5 2005.75 2 0.39 1 40 38.44 38.44 1
"712" 2005.5 2005.75 3 0.44 1 60 49.5 49.5 1
"907" 2005.5 2005.75 4 0.44 1 0 0 0 1
"128" 2005.75 2006 0 0.29 0 6 7.89 7.89 1
"323" 2005.75 2006 1 0.29 0.2 25 31.75 31.75 1
"518" 2005.75 2006 2 0.39 1 40 39.31 39.31 1
"713" 2005.75 2006 3 0.44 1 58 49.8 49.8 1
"908" 2005.75 2006 4 0.44 1 0 0 0 1
"129" 2006 2006.25 0 0.29 0 0 0 0 1
"324" 2006 2006.25 1 0.29 0.2 9 14.8 14.8 1
"519" 2006 2006.25 2 0.39 1 25 27.2 27.2 1
"714" 2006 2006.25 3 0.44 1 40 40.6 40.6 1
"909" 2006 2006.25 4 0.44 1 56 0 0 1
"130" 2006.25 2006.5 0 0.29 0 0 0 0 1
"325" 2006.25 2006.5 1 0.29 0.2 12 14.7 14.7 1
"520" 2006.25 2006.5 2 0.39 1 25 26.24 26.24 1
"715" 2006.25 2006.5 3 0.44 1 50 34.8 34.8 1
"910" 2006.25 2006.5 4 0.44 1 56 0 0 1
"131" 2006.5 2006.75 0 0.29 0 4 8.9 8.9 1
"326" 2006.5 2006.75 1 0.29 0.2 25 27.42 27.42 1
"521" 2006.5 2006.75 2 0.39 1 40 39.16 39.16 1
"716" 2006.5 2006.75 3 0.44 1 60 49.8 49.8 1
"911" 2006.5 2006.75 4 0.44 1 0 0 0 1
"132" 2006.75 2007 0 0.29 0 6 8.9 8.9 1
"327" 2006.75 2007 1 0.29 0.2 25 26.92 26.92 1
"522" 2006.75 2007 2 0.39 1 40 47.8 47.8 1
"717" 2006.75 2007 3 0.44 1 58 48.5 48.5 1
"912" 2006.75 2007 4 0.44 1 0 0 0 1
"133" 2007 2007.25 0 0.29 0 0 0 0 1
"328" 2007 2007.25 1 0.29 0.2 9 7.8 7.8 1
"523" 2007 2007.25 2 0.39 1 25 29.86 29.86 1
"718" 2007 2007.25 3 0.44 1 40 41.36 41.36 1
"913" 2007 2007.25 4 0.44 1 56 0 0 1
"134" 2007.25 2007.5 0 0.29 0 0 0 0 1
"329" 2007.25 2007.5 1 0.29 0.2 12 7.8 7.8 1
"524" 2007.25 2007.5 2 0.39 1 25 29.86 29.86 1
"719" 2007.25 2007.5 3 0.44 1 50 34.8 34.8 1
"914" 2007.25 2007.5 4 0.44 1 56 0 0 1
"135" 2007.5 2007.75 0 0.29 0 4 8.9 8.9 1
"330" 2007.5 2007.75 1 0.29 0.2 25 45 45 1
"525" 2007.5 2007.75 2 0.39 1 40 57.07 57.07 1
"720" 2007.5 2007.75 3 0.44 1 60 56.22 56.22 1
"915" 2007.5 2007.75 4 0.44 1 0 0 0 1
"136" 2007.75 2008 0 0.29 0 6 8.9 8.9 1
"331" 2007.75 2008 1 0.29 0.2 25 45 45 1
"526" 2007.75 2008 2 0.39 1 40 57.07 57.07 1
"721" 2007.75 2008 3 0.44 1 58 56.22 56.22 1
"916" 2007.75 2008 4 0.44 1 0 0 0 1
"137" 2008 2008.25 0 0.29 0 0 0 0 1
"332" 2008 2008.25 1 0.29 0.2 9 11 11 1
"527" 2008 2008.25 2 0.39 1 25 29.8 29.8 1
"722" 2008 2008.25 3 0.44 1 40 56 56 1
"917" 2008 2008.25 4 0.44 1 56 0 0 1
"138" 2008.25 2008.5 0 0.29 0 0 0 0 1
"333" 2008.25 2008.5 1 0.29 0.2 12 11 11 1
"528" 2008.25 2008.5 2 0.39 1 25 29.8 29.8 1
"723" 2008.25 2008.5 3 0.44 1 50 56 56 1
"918" 2008.25 2008.5 4 0.44 1 56 0 0 1
"139" 2008.5 2008.75 0 0.29 0 4 0 0 1
"334" 2008.5 2008.75 1 0.29 0.2 25 26.8 26.8 1
"529" 2008.5 2008.75 2 0.39 1 40 35.6 35.6 1
"724" 2008.5 2008.75 3 0.44 1 60 56 56 1
"919" 2008.5 2008.75 4 0.44 1 0 0 0 1
"140" 2008.75 2009 0 0.29 0 6 9.9 9.9 1
"335" 2008.75 2009 1 0.29 0.2 25 24.4 24.4 1
"530" 2008.75 2009 2 0.39 1 40 56 56 1
"725" 2008.75 2009 3 0.44 1 58 56 56 1
"920" 2008.75 2009 4 0.44 1 0 0 0 1
"141" 2009 2009.25 0 0.29 0 0 0 0 1
"336" 2009 2009.25 1 0.29 0.2 9 10.21 10.21 1
"531" 2009 2009.25 2 0.39 1 25 24 24 1
"726" 2009 2009.25 3 0.44 1 40 56 56 1
"921" 2009 2009.25 4 0.44 1 56 0 0 1
"142" 2009.25 2009.5 0 0.29 0 0 0 0 1
"337" 2009.25 2009.5 1 0.29 0.2 12 19.3 19.3 1
"532" 2009.25 2009.5 2 0.39 1 25 25.8 25.8 1
"727" 2009.25 2009.5 3 0.44 1 50 39.8 39.8 1
"922" 2009.25 2009.5 4 0.44 1 56 0 0 1
"143" 2009.5 2009.75 0 0.29 0 4 6.6 6.6 1
"338" 2009.5 2009.75 1 0.29 0.2 25 28.01 28.01 1
"533" 2009.5 2009.75 2 0.39 1 40 30.07 30.07 1
"728" 2009.5 2009.75 3 0.44 1 60 51.5 51.5 1
"923" 2009.5 2009.75 4 0.44 1 0 0 0 1
"144" 2009.75 2010 0 0.29 0 6 8.5 8.5 1
"339" 2009.75 2010 1 0.29 0.2 25 32.71 32.71 1
"534" 2009.75 2010 2 0.39 1 40 31.95 31.95 1
"729" 2009.75 2010 3 0.44 1 58 55.7 55.7 1
"924" 2009.75 2010 4 0.44 1 0 0 0 1
"145" 2010 2010.25 0 0.29 0 0 0 0 1
"340" 2010 2010.25 1 0.29 0.2 9 25.6 25.6 1
"535" 2010 2010.25 2 0.39 1 25 37.2 37.2 1
"730" 2010 2010.25 3 0.44 1 40 0 0 1
"925" 2010 2010.25 4 0.44 1 56 0 0 1
"146" 2010.25 2010.5 0 0.29 0 0 0 0 1
"341" 2010.25 2010.5 1 0.29 0.2 12 15.51 15.51 1
"536" 2010.25 2010.5 2 0.39 1 25 29.99 29.99 1
"731" 2010.25 2010.5 3 0.44 1 50 47 47 1
"926" 2010.25 2010.5 4 0.44 1 56 0 0 1
"147" 2010.5 2010.75 0 0.29 0 4 0 0 1
"342" 2010.5 2010.75 1 0.29 0.2 25 25.37 25.37 1
"537" 2010.5 2010.75 2 0.39 1 40 38.55 38.55 1
"732" 2010.5 2010.75 3 0.44 1 60 45.5 45.5 1
"927" 2010.5 2010.75 4 0.44 1 0 0 0 1
"148" 2010.75 2011 0 0.29 0 6 0 0 1
"343" 2010.75 2011 1 0.29 0.2 25 27.75 27.75 1
"538" 2010.75 2011 2 0.39 1 40 39.88 39.88 1
"733" 2010.75 2011 3 0.44 1 58 62.2 62.2 1
"928" 2010.75 2011 4 0.44 1 0 0 0 1
"149" 2011 2011.25 0 0.29 0 0 0 0 1
"344" 2011 2011.25 1 0.29 0.2 9 0 0 1
"539" 2011 2011.25 2 0.39 1 25 0 0 1
"734" 2011 2011.25 3 0.44 1 40 0 0 1
"929" 2011 2011.25 4 0.44 1 56 0 0 1
"150" 2011.25 2011.5 0 0.29 0 0 0 0 1
"345" 2011.25 2011.5 1 0.29 0.2 12 20.33 20.33 1
"540" 2011.25 2011.5 2 0.39 1 25 37.75 37.75 1
"735" 2011.25 2011.5 3 0.44 1 50 52 52 1
"930" 2011.25 2011.5 4 0.44 1 56 0 0 1
"151" 2011.5 2011.75 0 0.29 0 4 0 0 1
"346" 2011.5 2011.75 1 0.29 0.2 25 22.14 22.14 1
"541" 2011.5 2011.75 2 0.39 1 40 37.5 37.5 1
"736" 2011.5 2011.75 3 0.44 1 60 52 52 1
"931" 2011.5 2011.75 4 0.44 1 0 0 0 1
"152" 2011.75 2012 0 0.29 0 6 8.9 8.9 1
"347" 2011.75 2012 1 0.29 0.2 25 30.5 30.5 1
"542" 2011.75 2012 2 0.39 1 40 35.61 35.61 1
"737" 2011.75 2012 3 0.44 1 58 52 52 1
"932" 2011.75 2012 4 0.44 1 0 0 0 1
"153" 2012 2012.25 0 0.29 0 0 0 0 1
"348" 2012 2012.25 1 0.29 0.2 9 27.24 27.24 1
"543" 2012 2012.25 2 0.39 1 25 36.24 36.24 1
"738" 2012 2012.25 3 0.44 1 40 37.22 37.22 1
"933" 2012 2012.25 4 0.44 1 56 0 0 1
"154" 2012.25 2012.5 0 0.29 0 0 0 0 1
"349" 2012.25 2012.5 1 0.29 0.2 12 22.81 22.81 1
"544" 2012.25 2012.5 2 0.39 1 25 40.54 40.54 1
"739" 2012.25 2012.5 3 0.44 1 50 46.77 46.77 1
"934" 2012.25 2012.5 4 0.44 1 56 0 0 1
"155" 2012.5 2012.75 0 0.29 0 4 6.58 6.58 1
"350" 2012.5 2012.75 1 0.29 0.2 25 28.86 28.86 1
"545" 2012.5 2012.75 2 0.39 1 40 40.3 40.3 1
"740" 2012.5 2012.75 3 0.44 1 60 48.33 48.33 1
"935" 2012.5 2012.75 4 0.44 1 0 0 0 1
"156" 2012.75 2013 0 0.29 0 6 6.66 6.66 1
"351" 2012.75 2013 1 0.29 0.2 25 38.52 38.52 1
"546" 2012.75 2013 2 0.39 1 40 49.59 49.59 1
"741" 2012.75 2013 3 0.44 1 58 59.15 59.15 1
"936" 2012.75 2013 4 0.44 1 0 0 0 1
"157" 2013 2013.25 0 0.29 0 0 0 0 1
"352" 2013 2013.25 1 0.29 0.2 9 12.44 12.44 1
"547" 2013 2013.25 2 0.39 1 25 32.87 32.87 1
"742" 2013 2013.25 3 0.44 1 40 42.4 42.4 1
"937" 2013 2013.25 4 0.44 1 56 0 0 1
"158" 2013.25 2013.5 0 0.29 0 0 0 0 1
"353" 2013.25 2013.5 1 0.29 0.2 12 14.48 14.48 1
"548" 2013.25 2013.5 2 0.39 1 25 30.21 30.21 1
"743" 2013.25 2013.5 3 0.44 1 50 40.71 40.71 1
"938" 2013.25 2013.5 4 0.44 1 56 0 0 1
"159" 2013.5 2013.75 0 0.29 0 4 4.3 4.3 1
"354" 2013.5 2013.75 1 0.29 0.2 25 22.97 22.97 1
"549" 2013.5 2013.75 2 0.39 1 40 38.87 38.87 1
"744" 2013.5 2013.75 3 0.44 1 60 45.24 45.24 1
"939" 2013.5 2013.75 4 0.44 1 0 0 0 1
"160" 2013.75 2014 0 0.29 0 6 9.56 9.56 1
"355" 2013.75 2014 1 0.29 0.2 25 27.68 27.68 1
"550" 2013.75 2014 2 0.39 1 40 46.38 46.38 1
"745" 2013.75 2014 3 0.44 1 58 57.93 57.93 1
"940" 2013.75 2014 4 0.44 1 0 0 0 1
"161" 2014 2014.25 0 0.29 0 0 0 0 1
"356" 2014 2014.25 1 0.29 0.2 9 8.69 8.69 1
"551" 2014 2014.25 2 0.39 1 25 23.51 23.51 1
"746" 2014 2014.25 3 0.44 1 40 50.63 50.63 1
"941" 2014 2014.25 4 0.44 1 56 0 0 1
"162" 2014.25 2014.5 0 0.29 0 0 0 0 1
"357" 2014.25 2014.5 1 0.29 0.2 12 28.06 28.06 1
"552" 2014.25 2014.5 2 0.39 1 25 36.53 36.53 1
"747" 2014.25 2014.5 3 0.44 1 50 42.77 42.77 1
"942" 2014.25 2014.5 4 0.44 1 56 0 0 1
"163" 2014.5 2014.75 0 0.29 0 4 5.31 5.31 1
"358" 2014.5 2014.75 1 0.29 0.2 25 30.12 30.12 1
"553" 2014.5 2014.75 2 0.39 1 40 39.44 39.44 1
"748" 2014.5 2014.75 3 0.44 1 60 39.3 39.3 1
"943" 2014.5 2014.75 4 0.44 1 0 0 0 1
"164" 2014.75 2015 0 0.29 0 6 6.46 6.46 1
"359" 2014.75 2015 1 0.29 0.2 25 30 30 1
"554" 2014.75 2015 2 0.39 1 40 42.37 42.37 1
"749" 2014.75 2015 3 0.44 1 58 0 0 1
"944" 2014.75 2015 4 0.44 1 0 0 0 1
"165" 2015 2015.25 0 0.29 0 0 0 0 1
"360" 2015 2015.25 1 0.29 0.2 9 7.53 7.53 1
"555" 2015 2015.25 2 0.39 1 25 29.3 29.3 1
"750" 2015 2015.25 3 0.44 1 40 46.2 46.2 1
"945" 2015 2015.25 4 0.44 1 56 0 0 1
"166" 2015.25 2015.5 0 0.29 0 0 0 0 1
"361" 2015.25 2015.5 1 0.29 0.2 12 17.82 17.82 1
"556" 2015.25 2015.5 2 0.39 1 25 32.97 32.97 1
"751" 2015.25 2015.5 3 0.44 1 50 46.61 46.61 1
"946" 2015.25 2015.5 4 0.44 1 56 0 0 1
"167" 2015.5 2015.75 0 0.29 0 4 8.22 8.22 1
"362" 2015.5 2015.75 1 0.29 0.2 25 21.14 21.14 1
"557" 2015.5 2015.75 2 0.39 1 40 25.04 25.04 1
"752" 2015.5 2015.75 3 0.44 1 60 47.97 47.97 1
"947" 2015.5 2015.75 4 0.44 1 0 0 0 1
"168" 2015.75 2016 0 0.29 0 6 5.69 5.69 1
"363" 2015.75 2016 1 0.29 0.2 25 22.61 22.61 1
"558" 2015.75 2016 2 0.39 1 40 34.8 34.8 1
"753" 2015.75 2016 3 0.44 1 58 41.68 41.68 1
"948" 2015.75 2016 4 0.44 1 0 0 0 1
"169" 2016 2016.25 0 0.29 0 0 0 0 1
"364" 2016 2016.25 1 0.29 0.2 9 14.9 14.9 1
"559" 2016 2016.25 2 0.39 1 25 19.08 19.08 1
"754" 2016 2016.25 3 0.44 1 40 30.76 30.76 1
"949" 2016 2016.25 4 0.44 1 56 0 0 1
"170" 2016.25 2016.5 0 0.29 0 0 0 0 1
"365" 2016.25 2016.5 1 0.29 0.2 12 16.54 16.54 1
"560" 2016.25 2016.5 2 0.39 1 25 26.21 26.21 1
"755" 2016.25 2016.5 3 0.44 1 50 35.91 35.91 1
"950" 2016.25 2016.5 4 0.44 1 56 0 0 1
"171" 2016.5 2016.75 0 0.29 0 4 15 15 1
"366" 2016.5 2016.75 1 0.29 0.2 25 26.91 26.91 1
"561" 2016.5 2016.75 2 0.39 1 40 34.99 34.99 1
"756" 2016.5 2016.75 3 0.44 1 60 34.05 34.05 1
"951" 2016.5 2016.75 4 0.44 1 0 0 0 1
"172" 2016.75 2017 0 0.29 0 6 6.59 6.59 1
"367" 2016.75 2017 1 0.29 0.2 25 27.64 27.64 1
"562" 2016.75 2017 2 0.39 1 40 35.64 35.64 1
"757" 2016.75 2017 3 0.44 1 58 0 0 1
"952" 2016.75 2017 4 0.44 1 0 0 0 1
"173" 2017 2017.25 0 0.29 0 0 0 0 1
"368" 2017 2017.25 1 0.29 0.2 9 18.17 18.17 1
"563" 2017 2017.25 2 0.39 1 25 30.95 30.95 1
"758" 2017 2017.25 3 0.44 1 40 23.69 23.69 1
"953" 2017 2017.25 4 0.44 1 56 0 0 1
"174" 2017.25 2017.5 0 0.29 0 0 0 0 1
"369" 2017.25 2017.5 1 0.29 0.2 12 17.11 17.11 1
"564" 2017.25 2017.5 2 0.39 1 25 25.85 25.85 1
"759" 2017.25 2017.5 3 0.44 1 50 27.21 27.21 1
"954" 2017.25 2017.5 4 0.44 1 56 0 0 1
"175" 2017.5 2017.75 0 0.29 0 4 4.7 4.7 1
"370" 2017.5 2017.75 1 0.29 0.2 25 23.69 23.69 1
"565" 2017.5 2017.75 2 0.39 1 40 34.38 34.38 1
"760" 2017.5 2017.75 3 0.44 1 60 41.52 41.52 1
"955" 2017.5 2017.75 4 0.44 1 0 0 0 1
"176" 2017.75 2018 0 0.29 0 6 6.25 6.25 1
"371" 2017.75 2018 1 0.29 0.2 25 24.11 24.11 1
"566" 2017.75 2018 2 0.39 1 40 37.59 37.59 1
"761" 2017.75 2018 3 0.44 1 58 49.92 49.92 1
"956" 2017.75 2018 4 0.44 1 0 0 0 1
"177" 2018 2018.25 0 0.29 0 0 0 0 1
"372" 2018 2018.25 1 0.29 0.2 9 6.05 6.05 1
"567" 2018 2018.25 2 0.39 1 25 15.78 15.78 1
"762" 2018 2018.25 3 0.44 1 40 28.59 28.59 1
"957" 2018 2018.25 4 0.44 1 56 0 0 1
