"t1" "t2" "age" "M" "PM" "SW" "CW" "DW" "LF"
"412" 1979.25 1979.5 2 0.39 1 25 34 34 1
"607" 1979.25 1979.5 3 0.44 1 50 50 50 1
"802" 1979.25 1979.5 4 0.44 1 56 56 56 1
"23" 1979.5 1979.75 0 0.29 0 4 4 4 1
"218" 1979.5 1979.75 1 0.29 0.2 25 25 25 1
"413" 1979.5 1979.75 2 0.39 1 40 43 43 1
"608" 1979.5 1979.75 3 0.44 1 60 60 60 1
"803" 1979.5 1979.75 4 0.44 1 0 0 0 1
"24" 1979.75 1980 0 0.29 0 6 6 6 1
"219" 1979.75 1980 1 0.29 0.2 25 23 23 1
"414" 1979.75 1980 2 0.39 1 40 42 42 1
"609" 1979.75 1980 3 0.44 1 58 58 58 1
"804" 1979.75 1980 4 0.44 1 0 0 0 1
"25" 1980 1980.25 0 0.29 0 0 0 0 1
"220" 1980 1980.25 1 0.29 0.2 9 7 7 1
"415" 1980 1980.25 2 0.39 1 25 22 22 1
"610" 1980 1980.25 3 0.44 1 40 40 40 1
"805" 1980 1980.25 4 0.44 1 56 56 56 1
"26" 1980.25 1980.5 0 0.29 0 0 0 0 1
"221" 1980.25 1980.5 1 0.29 0.2 12 15 15 1
"416" 1980.25 1980.5 2 0.39 1 25 34 34 1
"611" 1980.25 1980.5 3 0.44 1 50 50 50 1
"806" 1980.25 1980.5 4 0.44 1 56 56 56 1
"27" 1980.5 1980.75 0 0.29 0 4 4 4 1
"222" 1980.5 1980.75 1 0.29 0.2 25 25 25 1
"417" 1980.5 1980.75 2 0.39 1 40 43 43 1
"612" 1980.5 1980.75 3 0.44 1 60 60 60 1
"807" 1980.5 1980.75 4 0.44 1 0 0 0 1
"28" 1980.75 1981 0 0.29 0 6 6 6 1
"223" 1980.75 1981 1 0.29 0.2 25 23 23 1
"418" 1980.75 1981 2 0.39 1 40 42 42 1
"613" 1980.75 1981 3 0.44 1 58 58 58 1
"808" 1980.75 1981 4 0.44 1 0 0 0 1
"29" 1981 1981.25 0 0.29 0 0 0 0 1
"224" 1981 1981.25 1 0.29 0.2 9 7 7 1
"419" 1981 1981.25 2 0.39 1 25 22 22 1
"614" 1981 1981.25 3 0.44 1 40 40 40 1
"809" 1981 1981.25 4 0.44 1 56 56 56 1
"30" 1981.25 1981.5 0 0.29 0 0 0 0 1
"225" 1981.25 1981.5 1 0.29 0.2 12 15 15 1
"420" 1981.25 1981.5 2 0.39 1 25 34 34 1
"615" 1981.25 1981.5 3 0.44 1 50 50 50 1
"810" 1981.25 1981.5 4 0.44 1 56 56 56 1
"31" 1981.5 1981.75 0 0.29 0 4 4 4 1
"226" 1981.5 1981.75 1 0.29 0.2 25 25 25 1
"421" 1981.5 1981.75 2 0.39 1 40 43 43 1
"616" 1981.5 1981.75 3 0.44 1 60 60 60 1
"811" 1981.5 1981.75 4 0.44 1 0 0 0 1
"32" 1981.75 1982 0 0.29 0 6 6 6 1
"227" 1981.75 1982 1 0.29 0.2 25 23 23 1
"422" 1981.75 1982 2 0.39 1 40 42 42 1
"617" 1981.75 1982 3 0.44 1 58 58 58 1
"812" 1981.75 1982 4 0.44 1 0 0 0 1
"33" 1982 1982.25 0 0.29 0 0 0 0 1
"228" 1982 1982.25 1 0.29 0.2 9 7 7 1
"423" 1982 1982.25 2 0.39 1 25 22 22 1
"618" 1982 1982.25 3 0.44 1 40 40 40 1
"813" 1982 1982.25 4 0.44 1 56 56 56 1
"34" 1982.25 1982.5 0 0.29 0 0 0 0 1
"229" 1982.25 1982.5 1 0.29 0.2 12 15 15 1
"424" 1982.25 1982.5 2 0.39 1 25 34 34 1
"619" 1982.25 1982.5 3 0.44 1 50 50 50 1
"814" 1982.25 1982.5 4 0.44 1 56 56 56 1
"35" 1982.5 1982.75 0 0.29 0 4 4 4 1
"230" 1982.5 1982.75 1 0.29 0.2 25 25 25 1
"425" 1982.5 1982.75 2 0.39 1 40 43 43 1
"620" 1982.5 1982.75 3 0.44 1 60 60 60 1
"815" 1982.5 1982.75 4 0.44 1 0 0 0 1
"36" 1982.75 1983 0 0.29 0 6 6 6 1
"231" 1982.75 1983 1 0.29 0.2 25 23 23 1
"426" 1982.75 1983 2 0.39 1 40 42 42 1
"621" 1982.75 1983 3 0.44 1 58 58 58 1
"816" 1982.75 1983 4 0.44 1 0 0 0 1
"37" 1983 1983.25 0 0.29 0 0 0 0 1
"232" 1983 1983.25 1 0.29 0.2 9 7 7 1
"427" 1983 1983.25 2 0.39 1 25 22 22 1
"622" 1983 1983.25 3 0.44 1 40 40 40 1
"817" 1983 1983.25 4 0.44 1 56 56 56 1
"38" 1983.25 1983.5 0 0.29 0 0 0 0 1
"233" 1983.25 1983.5 1 0.29 0.2 12 15 15 1
"428" 1983.25 1983.5 2 0.39 1 25 34 34 1
"623" 1983.25 1983.5 3 0.44 1 50 50 50 1
"818" 1983.25 1983.5 4 0.44 1 56 56 56 1
"39" 1983.5 1983.75 0 0.29 0 4 4 4 1
"234" 1983.5 1983.75 1 0.29 0.2 25 25 25 1
"429" 1983.5 1983.75 2 0.39 1 40 43 43 1
"624" 1983.5 1983.75 3 0.44 1 60 60 60 1
"819" 1983.5 1983.75 4 0.44 1 0 0 0 1
"40" 1983.75 1984 0 0.29 0 6 6 6 1
"235" 1983.75 1984 1 0.29 0.2 25 23 23 1
"430" 1983.75 1984 2 0.39 1 40 42 42 1
"625" 1983.75 1984 3 0.44 1 58 58 58 1
"820" 1983.75 1984 4 0.44 1 0 0 0 1
"41" 1984 1984.25 0 0.29 0 0 0 0 1
"236" 1984 1984.25 1 0.29 0.2 9 6.55 6.55 1
"431" 1984 1984.25 2 0.39 1 25 24.04 24.04 1
"626" 1984 1984.25 3 0.44 1 40 39.54 39.54 1
"821" 1984 1984.25 4 0.44 1 56 0 0 1
"42" 1984.25 1984.5 0 0.29 0 0 0 0 1
"237" 1984.25 1984.5 1 0.29 0.2 12 8.97 8.97 1
"432" 1984.25 1984.5 2 0.39 1 25 22.66 22.66 1
"627" 1984.25 1984.5 3 0.44 1 50 37 37 1
"822" 1984.25 1984.5 4 0.44 1 56 0 0 1
"43" 1984.5 1984.75 0 0.29 0 4 6.54 6.54 1
"238" 1984.5 1984.75 1 0.29 0.2 25 17.83 17.83 1
"433" 1984.5 1984.75 2 0.39 1 40 34.28 34.28 1
"628" 1984.5 1984.75 3 0.44 1 60 34.1 34.1 1
"823" 1984.5 1984.75 4 0.44 1 0 0 0 1
"44" 1984.75 1985 0 0.29 0 6 6.54 6.54 1
"239" 1984.75 1985 1 0.29 0.2 25 20.22 20.22 1
"434" 1984.75 1985 2 0.39 1 40 35.07 35.07 1
"629" 1984.75 1985 3 0.44 1 58 46.23 46.23 1
"824" 1984.75 1985 4 0.44 1 0 0 0 1
"45" 1985 1985.25 0 0.29 0 0 0 0 1
"240" 1985 1985.25 1 0.29 0.2 9 7.86 7.86 1
"435" 1985 1985.25 2 0.39 1 25 22.7 22.7 1
"630" 1985 1985.25 3 0.44 1 40 45.26 45.26 1
"825" 1985 1985.25 4 0.44 1 56 41.8 41.8 1
"46" 1985.25 1985.5 0 0.29 0 0 0 0 1
"241" 1985.25 1985.5 1 0.29 0.2 12 12.56 12.56 1
"436" 1985.25 1985.5 2 0.39 1 25 28.81 28.81 1
"631" 1985.25 1985.5 3 0.44 1 50 43.38 43.38 1
"826" 1985.25 1985.5 4 0.44 1 56 0 0 1
"47" 1985.5 1985.75 0 0.29 0 4 8.37 8.37 1
"242" 1985.5 1985.75 1 0.29 0.2 25 23.1 23.1 1
"437" 1985.5 1985.75 2 0.39 1 40 36.52 36.52 1
"632" 1985.5 1985.75 3 0.44 1 60 58.99 58.99 1
"827" 1985.5 1985.75 4 0.44 1 0 0 0 1
"48" 1985.75 1986 0 0.29 0 6 6.23 6.23 1
"243" 1985.75 1986 1 0.29 0.2 25 26.97 26.97 1
"438" 1985.75 1986 2 0.39 1 40 40.9 40.9 1
"633" 1985.75 1986 3 0.44 1 58 0 0 1
"828" 1985.75 1986 4 0.44 1 0 0 0 1
"49" 1986 1986.25 0 0.29 0 0 0 0 1
"244" 1986 1986.25 1 0.29 0.2 9 6.69 6.69 1
"439" 1986 1986.25 2 0.39 1 25 29.74 29.74 1
"634" 1986 1986.25 3 0.44 1 40 44.08 44.08 1
"829" 1986 1986.25 4 0.44 1 56 82.51 82.51 1
"50" 1986.25 1986.5 0 0.29 0 0 0 0 1
"245" 1986.25 1986.5 1 0.29 0.2 12 14.49 14.49 1
"440" 1986.25 1986.5 2 0.39 1 25 42.92 42.92 1
"635" 1986.25 1986.5 3 0.44 1 50 55.39 55.39 1
"830" 1986.25 1986.5 4 0.44 1 56 0 0 1
"51" 1986.5 1986.75 0 0.29 0 4 0 0 1
"246" 1986.5 1986.75 1 0.29 0.2 25 28.81 28.81 1
"441" 1986.5 1986.75 2 0.39 1 40 43.39 43.39 1
"636" 1986.5 1986.75 3 0.44 1 60 47.6 47.6 1
"831" 1986.5 1986.75 4 0.44 1 0 0 0 1
"52" 1986.75 1987 0 0.29 0 6 7.2 7.2 1
"247" 1986.75 1987 1 0.29 0.2 25 26.9 26.9 1
"442" 1986.75 1987 2 0.39 1 40 44 44 1
"637" 1986.75 1987 3 0.44 1 58 0 0 1
"832" 1986.75 1987 4 0.44 1 0 0 0 1
"53" 1987 1987.25 0 0.29 0 0 0 0 1
"248" 1987 1987.25 1 0.29 0.2 9 8.13 8.13 1
"443" 1987 1987.25 2 0.39 1 25 28.26 28.26 1
"638" 1987 1987.25 3 0.44 1 40 52.93 52.93 1
"833" 1987 1987.25 4 0.44 1 56 63.09 63.09 1
"54" 1987.25 1987.5 0 0.29 0 0 0 0 1
"249" 1987.25 1987.5 1 0.29 0.2 12 12.59 12.59 1
"444" 1987.25 1987.5 2 0.39 1 25 31.51 31.51 1
"639" 1987.25 1987.5 3 0.44 1 50 0 0 1
"834" 1987.25 1987.5 4 0.44 1 56 0 0 1
"55" 1987.5 1987.75 0 0.29 0 4 5.8 5.8 1
"250" 1987.5 1987.75 1 0.29 0.2 25 20.16 20.16 1
"445" 1987.5 1987.75 2 0.39 1 40 34.53 34.53 1
"640" 1987.5 1987.75 3 0.44 1 60 0 0 1
"835" 1987.5 1987.75 4 0.44 1 0 0 0 1
"56" 1987.75 1988 0 0.29 0 6 7.4 7.4 1
"251" 1987.75 1988 1 0.29 0.2 25 23.36 23.36 1
"446" 1987.75 1988 2 0.39 1 40 37.32 37.32 1
"641" 1987.75 1988 3 0.44 1 58 46.6 46.6 1
"836" 1987.75 1988 4 0.44 1 0 0 0 1
"57" 1988 1988.25 0 0.29 0 0 0 0 1
"252" 1988 1988.25 1 0.29 0.2 9 9.23 9.23 1
"447" 1988 1988.25 2 0.39 1 25 27.31 27.31 1
"642" 1988 1988.25 3 0.44 1 40 38.38 38.38 1
"837" 1988 1988.25 4 0.44 1 56 69.48 69.48 1
"58" 1988.25 1988.5 0 0.29 0 0 0 0 1
"253" 1988.25 1988.5 1 0.29 0.2 12 11.61 11.61 1
"448" 1988.25 1988.5 2 0.39 1 25 33.26 33.26 1
"643" 1988.25 1988.5 3 0.44 1 50 0 0 1
"838" 1988.25 1988.5 4 0.44 1 56 0 0 1
"59" 1988.5 1988.75 0 0.29 0 4 9.42 9.42 1
"254" 1988.5 1988.75 1 0.29 0.2 25 26.54 26.54 1
"449" 1988.5 1988.75 2 0.39 1 40 39.82 39.82 1
"644" 1988.5 1988.75 3 0.44 1 60 0 0 1
"839" 1988.5 1988.75 4 0.44 1 0 0 0 1
"60" 1988.75 1989 0 0.29 0 6 7.91 7.91 1
"255" 1988.75 1989 1 0.29 0.2 25 30.6 30.6 1
"450" 1988.75 1989 2 0.39 1 40 43.31 43.31 1
"645" 1988.75 1989 3 0.44 1 58 0 0 1
"840" 1988.75 1989 4 0.44 1 0 0 0 1
"61" 1989 1989.25 0 0.29 0 0 0 0 1
"256" 1989 1989.25 1 0.29 0.2 9 7.98 7.98 1
"451" 1989 1989.25 2 0.39 1 25 26.74 26.74 1
"646" 1989 1989.25 3 0.44 1 40 39.95 39.95 1
"841" 1989 1989.25 4 0.44 1 56 0 0 1
"62" 1989.25 1989.5 0 0.29 0 0 0 0 1
"257" 1989.25 1989.5 1 0.29 0.2 12 13.49 13.49 1
"452" 1989.25 1989.5 2 0.39 1 25 28.7 28.7 1
"647" 1989.25 1989.5 3 0.44 1 50 44.39 44.39 1
"842" 1989.25 1989.5 4 0.44 1 56 0 0 1
"63" 1989.5 1989.75 0 0.29 0 4 7.48 7.48 1
"258" 1989.5 1989.75 1 0.29 0.2 25 26.58 26.58 1
"453" 1989.5 1989.75 2 0.39 1 40 35.44 35.44 1
"648" 1989.5 1989.75 3 0.44 1 60 0 0 1
"843" 1989.5 1989.75 4 0.44 1 0 0 0 1
"64" 1989.75 1990 0 0.29 0 6 6.69 6.69 1
"259" 1989.75 1990 1 0.29 0.2 25 26.76 26.76 1
"454" 1989.75 1990 2 0.39 1 40 34.7 34.7 1
"649" 1989.75 1990 3 0.44 1 58 46.5 46.5 1
"844" 1989.75 1990 4 0.44 1 0 0 0 1
"65" 1990 1990.25 0 0.29 0 0 0 0 1
"260" 1990 1990.25 1 0.29 0.2 9 6.51 6.51 1
"455" 1990 1990.25 2 0.39 1 25 25.47 25.47 1
"650" 1990 1990.25 3 0.44 1 40 37.72 37.72 1
"845" 1990 1990.25 4 0.44 1 56 68 68 1
"66" 1990.25 1990.5 0 0.29 0 0 0 0 1
