North Sea/Skagerrak/Eastern Channel Cod; Maturity Ogive [IBTS Q1 area-weighted; updated 27 Apr 2016; 1963-77=old ogive]														
1	6													
1963	2016													
1	15													
1														
0.06	0.53	0.76	0.86	0.96	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
0.03	0.35	0.78	0.87	0.96	0.99	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
0.01	0.24	0.79	0.90	0.95	0.97	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
0.15	0.20	0.77	0.93	0.99	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
0.03	0.49	0.65	0.82	0.98	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
0.06	0.31	0.59	0.88	0.93	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
0.02	0.36	0.79	0.95	0.96	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
0.05	0.48	0.54	0.80	0.86	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
0.00	0.14	0.29	0.85	0.99	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00

